brnd_name,gnrc_name,mftr_name,tot_mftr,year,cagr_avg_spnd_per_dsg_unt_19_23,chg_avg_spnd_per_dsg_unt_22_23,tot_spndng,tot_dsg_unts,tot_clms,tot_benes,avg_spnd_per_dsg_unt_wghtd,avg_spnd_per_clm,avg_spnd_per_bene,outlier_flag,tot_spndng_log
1st tier unifine pentips,"Pen Needle, Diabetic",owen mumford us,1,2019,0.01175436,0.005701753,139201.68,642471.0,5392,1878.0,0.216787924,25.81633531,74.12230032,0,11.843686279570685
1st tier unifine pentips,"Pen Needle, Diabetic",owen mumford us,1,2020,0.01175436,0.005701753,118923.24,547006.0,4457,1595.0,0.217701046,26.68235136,74.56002508,0,11.686241930697763
1st tier unifine pentips,"Pen Needle, Diabetic",owen mumford us,1,2021,0.01175436,0.005701753,102280.76,459384.0,3708,1313.0,0.223001254,27.58380798,77.89852247,0,11.535486636922306
1st tier unifine pentips,"Pen Needle, Diabetic",owen mumford us,1,2022,0.01175436,0.005701753,70039.61,310304.0,2501,1147.0,0.225873987,28.00464214,61.06330427,0,11.156830495670828
1st tier unifine pentips,"Pen Needle, Diabetic",owen mumford us,1,2023,0.01175436,0.005701753,44355.04,195672.0,1613,699.0,0.227161865,27.49847489,63.45499285,0,10.70000416786727
1st tier unifine pentips plus,"Pen Needle, Diabetic",owen mumford us,1,2019,0.064848479,0.022164704,343031.42,1830596.0,14581,5319.0,0.187388804,23.52591866,64.49171273,0,12.74558024063188
1st tier unifine pentips plus,"Pen Needle, Diabetic",owen mumford us,1,2020,0.064848479,0.022164704,210217.15,1046616.0,8408,3905.0,0.200851195,25.00203972,53.8328169,0,12.25590108003418
1st tier unifine pentips plus,"Pen Needle, Diabetic",owen mumford us,1,2021,0.064848479,0.022164704,131927.33,566872.0,4564,1766.0,0.232811541,28.90607581,74.70403737,0,11.790014099569857
1st tier unifine pentips plus,"Pen Needle, Diabetic",owen mumford us,1,2022,0.064848479,0.022164704,114601.54,486206.0,3846,1474.0,0.235707834,29.7975923,77.74867029,0,11.649225247066022
1st tier unifine pentips plus,"Pen Needle, Diabetic",owen mumford us,1,2023,0.064848479,0.022164704,97951.18,406617.0,3269,1267.0,0.240932229,29.96365249,77.30953433,0,11.49223467937821
abacavir,Abacavir Sulfate,"cipla usa, inc.",1,2019,-0.055798316,-0.031307579,698311.33,192395.0,3311,698.0,3.629571091,210.9064724,1000.446032,0,13.456421745845647
abacavir,Abacavir Sulfate,"cipla usa, inc.",1,2020,-0.055798316,-0.031307579,758387.24,201025.0,3347,665.0,3.772601617,226.5871646,1140.43194,0,13.538950723473612
abacavir,Abacavir Sulfate,"cipla usa, inc.",1,2021,-0.055798316,-0.031307579,650297.1,204718.0,3276,651.0,3.17655067,198.5033883,998.9202765,0,13.385186152124541
abacavir,Abacavir Sulfate,"cipla usa, inc.",1,2022,-0.055798316,-0.031307579,841670.56,282627.0,3500,705.0,2.97802602,240.4773029,1193.85895,0,13.643145145867972
abacavir,Abacavir Sulfate,"cipla usa, inc.",1,2023,-0.055798316,-0.031307579,710541.39,246306.0,2943,594.0,2.884791235,241.4343833,1196.197626,0,13.473783886949285
abacavir,Abacavir Sulfate,rising pharm,1,2019,-0.007521865,-0.058312712,142257.84,312210.0,433,77.0,0.455647929,328.5400462,1847.504416,0,11.86540349417019
abacavir,Abacavir Sulfate,rising pharm,1,2020,-0.007521865,-0.058312712,134219.38,284470.0,452,64.0,0.471822618,296.945531,2097.177813,0,11.807238354880925
abacavir,Abacavir Sulfate,rising pharm,1,2021,-0.007521865,-0.058312712,123118.64,262650.0,437,65.0,0.46875553,281.7360183,1894.132923,0,11.720911844531878
abacavir,Abacavir Sulfate,rising pharm,1,2022,-0.007521865,-0.058312712,92432.25,196887.0,350,49.0,0.469468528,264.0921429,1886.372449,0,11.434242041384685
abacavir,Abacavir Sulfate,rising pharm,1,2023,-0.007521865,-0.058312712,48974.57,110779.0,206,31.0,0.442092545,237.7406311,1579.824839,0,10.79907688133613
abacavir,Abacavir Sulfate,mylan,1,2019,-0.000933079,-0.123764559,1937920.78,500896.0,7984,1505.0,3.868908476,242.7255486,1287.655003,0,14.477126709421203
abacavir,Abacavir Sulfate,mylan,1,2020,-0.000933079,-0.123764559,1670937.94,414685.0,6225,1246.0,4.029414954,268.4237655,1341.041685,0,14.328896265916475
abacavir,Abacavir Sulfate,mylan,1,2021,-0.000933079,-0.123764559,1040794.94,285628.0,4154,842.0,3.643882743,250.5524651,1236.098504,0,13.855496305327321
abacavir,Abacavir Sulfate,mylan,1,2022,-0.000933079,-0.123764559,957143.18,217586.0,3116,595.0,4.398918956,307.1704686,1608.644,0,13.771709317394478
abacavir,Abacavir Sulfate,mylan,1,2023,-0.000933079,-0.123764559,666703.2,172968.0,2470,469.0,3.854488692,269.9203239,1421.542004,0,13.410101748271325
abacavir,Abacavir Sulfate,aurobindo pharm,1,2019,-0.009052843,-0.094260319,3097563.43,836918.0,13106,2299.0,3.701155227,236.3469731,1347.352514,0,14.946126692914786
abacavir,Abacavir Sulfate,aurobindo pharm,1,2020,-0.009052843,-0.094260319,2415760.81,715751.0,10958,1757.0,3.375141369,220.4563616,1374.935009,0,14.697525244600511
abacavir,Abacavir Sulfate,aurobindo pharm,1,2021,-0.009052843,-0.094260319,2114714.13,636792.0,9667,1549.0,3.320886773,218.7559874,1365.212479,0,14.564430671083633
