gnrc_name,therapeutic_class
Abacavir,Antiretroviral
Abacavir-Lamivudine,Antiretroviral
Abilify,Antipsychotic
Acetylcysteine,Mucolytic
Amoxicillin,Antibiotic
Atorvastatin,Statin (Lipid-lowering)
Azithromycin,Antibiotic
Buprenorphine,Opioid Agonist/Antagonist
"Cabotegravir,Rilpivirine",Antiretroviral
Citalopram,Antidepressant (SSRI)
Clonazepam,Anti-anxiety (Benzodiazepine)
Dexmethylphenidate,ADHD Stimulant
Duloxetine,Antidepressant (SNRI)
Effexor XR (Venlafaxine),Antidepressant (SNRI)
Emtricitabine/Rilpivirine/Tenofovir,Antiretroviral
Fentanyl,Opioid Analgesic
Fioricet (Butalbital/Acetaminophen/Caffeine),Migraine/Analgesic
Fioricet with Codeine,Migraine/Opioid Combo
Fluconazole,Antifungal
Fluticasone Propionate,Corticosteroid (Inhaled)
Folic Acid,Vitamin/Supplement
Gabapentin,Anticonvulsant/Neuropathic Pain
Hydrocodone/Acetaminophen,Opioid Analgesic
Insulin Glargine,Antidiabetic (Insulin)
Levothyroxine,Thyroid Hormone
Lisinopril,ACE Inhibitor (Antihypertensive)
Metformin,Antidiabetic (Biguanide)
Methadone,Opioid Agonist
Methylphenidate,ADHD Stimulant
Montelukast,Leukotriene Receptor Antagonist (Asthma)
Naloxone,Opioid Antagonist
Omeprazole,PPI (Acid Reducer)
Oxycodone,Opioid Analgesic
Pantoprazole,PPI (Acid Reducer)
Prednisone,Corticosteroid
Rifampin,Antibiotic (Antitubercular)
Risperidone,Antipsychotic
Sertraline,Antidepressant (SSRI)
Simvastatin,Statin (Lipid-lowering)
Tramadol,Opioid Analgesic
Tramadol/Acetaminophen,Opioid Analgesic
Trazodone,Antidepressant/Sedative
Vitamin D,Vitamin/Supplement
Warfarin,Anticoagulant
Zolpidem,Sedative-Hypnotic
Albuterol,Bronchodilator (Asthma/COPD)
Amlodipine,Calcium Channel Blocker (Antihypertensive)
Amphetamine,ADHD Stimulant
Atenolol,Beta Blocker (Antihypertensive)
Azathioprine,Immunosuppressant
Baclofen,Muscle Relaxant
Bupropion,Antidepressant/Smoking Cessation
Carvedilol,Beta Blocker (Heart Failure)
Cephalexin,Antibiotic
Ciprofloxacin,Antibiotic (Fluoroquinolone)
Clopidogrel,Antiplatelet
Cyclobenzaprine,Muscle Relaxant
Diazepam,Benzodiazepine (Anxiolytic)
Diclofenac,NSAID (Pain/Inflammation)
Digoxin,Cardiac Glycoside
Diltiazem,Calcium Channel Blocker
Doxycycline,Antibiotic (Tetracycline)
Escitalopram,Antidepressant (SSRI)
Furosemide,Loop Diuretic
Glimepiride,Antidiabetic (Sulfonylurea)
Hydrochlorothiazide,Diuretic (Antihypertensive)
Hydroxychloroquine,Antimalarial/Immunomodulator
Ibuprofen,NSAID
Insulin Lispro,Antidiabetic (Insulin)
Levetiracetam,Anticonvulsant
Lorazepam,Benzodiazepine (Anxiolytic)
Losartan,ARB (Antihypertensive)
Meloxicam,NSAID
Metoprolol,Beta Blocker
Morphine,Opioid Analgesic
Naproxen,NSAID
Olanzapine,Antipsychotic
Ondansetron,Antiemetic
Oxcarbazepine,Anticonvulsant
Paroxetine,Antidepressant (SSRI)
Phenytoin,Anticonvulsant
Pregabalin,Anticonvulsant/Neuropathic Pain
Propranolol,Beta Blocker
Quetiapine,Antipsychotic
Ramipril,ACE Inhibitor
Rosuvastatin,Statin
Sertraline,Antidepressant (SSRI)
Sildenafil,Vasodilator (ED/Pulmonary HTN)
Spironolactone,Diuretic (Potassium-sparing)
Sulfamethoxazole/Trimethoprim,Antibiotic
Tamsulosin,Alpha Blocker (BPH)
Temazepam,Benzodiazepine (Sedative)
Topiramate,Anticonvulsant
Tramadol,Opioid Analgesic
Valproic Acid,Anticonvulsant/Mood Stabilizer
Verapamil,Calcium Channel Blocker
Zolpidem,Sedative-Hypnotic
