brnd_name,forecast_2024_total_spending
1st tier unifine pentips,45291.13794
1st tier unifine pentips,46159.08137
1st tier unifine pentips plus,101638.3561
1st tier unifine pentips plus,103451.7967
abacavir,5412979.273
abacavir,708559.0008
abacavir,47888.64227
abacavir,680410.273
abacavir,1445626.118
abacavir,2219362.286
abacavir-lamivudine,9513548.78
abacavir-lamivudine,652281.6845
abacavir-lamivudine,151640.2411
abacavir-lamivudine,5427831.428
abacavir-lamivudine,3496481.322
abilify,11714419.12
abilify,11654090.61
abilify asimtufii,13290386.24
abilify asimtufii,12934405.8
abilify maintena,234112220.0
abilify maintena,406597513.6
abilify mycite,74599.03284
abilify mycite,74173.70713
abiraterone acetate,423951222.3
abiraterone acetate,16753.94721
abiraterone acetate,49642266.61
abiraterone acetate,138462.0425
abiraterone acetate,4510252.11
abiraterone acetate,39793243.32
abiraterone acetate,154287.7716
abiraterone acetate,21054205.68
abiraterone acetate,66331546.44
abiraterone acetate,304269.8105
abiraterone acetate,104287304.3
abiraterone acetate,173338470.9
abiraterone acetate,173618864.9
abiraterone acetate,28644614.32
abiraterone acetate,43704710.6
abiraterone acetate,22561149.47
abiraterone acetate,68510243.45
abiraterone acetate,99919347.2
abiraterone acetate,113983.1033
abiraterone acetate,1447146.626
abraxane,6838353.27
abraxane,7868475.192
abrysvo,393487230.0
abrysvo,710480168.1
absorica,75275.12531
absorica,74971.53565
absorica ld,63240.89087
absorica ld,62997.68301
acamprosate calcium,8507965.575
acamprosate calcium,3000.964622
acamprosate calcium,4338.856
acamprosate calcium,2726.653465
acamprosate calcium,3628448.488
acamprosate calcium,4176522.437
acamprosate calcium,493531.4076
acanya,14329.68469
acanya,14320.27114
acarbose,10144886.78
acarbose,921203.4916
acarbose,2856248.514
acarbose,1067208.742
acarbose,2547.489863
acarbose,4809892.051
accolate,8831.955009
accolate,8928.766183
accutane,82294.09579
accutane,82269.43771
acebutolol hcl,5601549.053
acebutolol hcl,2428858.545
acebutolol hcl,4846.061795
acebutolol hcl,3250486.996
acetamin-caff-dihydrocodeine,205707.934
acetamin-caff-dihydrocodeine,205574.1967
acetaminophen,51602.47356
acetaminophen,15982.69594
acetaminophen,6332.076415
acetaminophen,1671.992824
acetaminophen,6998.46104
acetaminophen,16895.57877
acetaminophen,637.4364679
acetaminophen-codeine,27909754.19
acetaminophen-codeine,24381.64989
acetaminophen-codeine,3331018.001
acetaminophen-codeine,203.2031896
acetaminophen-codeine,41048.31911
acetaminophen-codeine,3011083.931
acetaminophen-codeine,971.9190649
acetaminophen-codeine,83909.7736
acetaminophen-codeine,213804.342
